,Words (split by space),anger,disgust,fear,joy,sad,surprise
0,senator carl krueger thinks ipods can kill you,0.14015506390530102,0.10239085469312606,0.13349592140813046,0.10981755647429961,0.17253165709561125,0.3416089464235317
1,who is prince frederic von anhalt,0.03451822359888892,0.08730470413102445,0.12933943664858277,0.22611143606542702,0.13554914131130072,0.3871770582447761
2,prestige has magic touch,0.05869281260311073,0.06470056863227608,0.22005887986593228,0.09446576288176774,0.19940852387484326,0.36267345214206986
3,study female seals picky about mates,0.059409335853904024,0.10952457157858536,0.12927939633287713,0.23806480270371616,0.07042908314126843,0.3932928103896487
4,no e book for harry potter vii,0.08874470789495713,0.0704917564838967,0.14413648418414468,0.26516546137520913,0.20554574509882065,0.22591584496297193
5,blair apologises over friendly fire inquest,0.19257563312546422,0.03415032543541732,0.24272321557710277,0.007349397302299973,0.36023507022512924,0.1629663583345862
6,vegetables may boost brain power in older adults,0.0001843983259984839,9.053103907127485e-05,0.09310230366821462,0.44361203696119855,0.0005973132511883494,0.4624134167543286
7,afghan forces retake town that was overrun by taliban,0.13560218714132133,0.06533735091664557,0.2727121167449546,0.0866372745406676,0.24494135343564852,0.19476971722076192
8,skip the showers male sweat turns women on study says,0.05092433410867787,0.1226351015077854,0.08942644633811532,0.15946820005802484,0.08652791017760114,0.49101800780979543
9,made in china irks some burberry shoppers,0.06865385128604244,0.048732405665331206,0.21067930318756253,0.2675780483715684,0.1897476801905253,0.2146087112989698
10,britain to restrict immigrants from new eu members,0.09074780968715367,0.031780726296634275,0.21215430694514303,0.3090166951276836,0.13358875076191393,0.2227117111814715
11,canadian breakthrough offers hope on autism,0.07281426012036656,0.05138672969534932,0.24380106748600341,0.22931408345346205,0.15868404966161442,0.2439998095832041
12,russia to strengthen its military muscle,0.12171604269166202,0.03493088965352805,0.24001110360527297,0.190489844308377,0.15603317967106195,0.2568189400700982
13,alzheimer s drugs offer no help study finds,0.09536208356212546,0.07776016000925991,0.14082009926551867,0.21473322558223865,0.21040620557593268,0.2609182260049245
14,uk police slammed over terror raid,0.19747302429473085,0.1116004679219896,0.3661465108422753,0.08108060729734866,0.15917007548065878,0.08452931416299667
15,no rejects police state claim,0.1344569283971946,0.1104204066513458,0.20467768662054917,0.14327470257141844,0.16434543204154822,0.2428248437179437
16,oprah announces new book club pick,0.03869553505853682,0.0598085169572906,0.14903894824265218,0.40333730903492954,0.1043168260850749,0.24480286462151596
17,smith can t be buried until hearing,0.09731910328300086,0.025469021907948027,0.12755687356222897,0.1562221458057747,0.3074993766668621,0.2859334787741852
18,african nation hopes whoopi can help,0.06294219779957938,0.04059997039240246,0.149011554835214,0.2067418392617421,0.15455326578528766,0.3861511719257744
19,tourism lags in bush s hometown,0.09569301231931292,0.0676166479953126,0.24195101945899478,0.20044286545969076,0.15171560075705157,0.24258085400963722
20,air france klm profit rises,0.1253974701644518,0.08102794508770587,0.250502414388079,0.15157177791904752,0.1441631600622199,0.24733723237849561
21,au regrets sudan s expulsion of un envoy,0.09767307433443229,0.07208341673695418,0.17679557448610153,0.19558704758687048,0.16703925792011004,0.29082162893553165
22,taiwan s mr clean indicted steps down,0.07019029035406463,0.060318492710256244,0.2584295039814575,0.19749007482509479,0.15047798625362488,0.26309365187550154
23,martian life could have evaded detection by viking landers,0.11767625464914165,0.0001672720884463198,0.05920244899872169,0.00042913295764928136,0.11790912473307047,0.7046157665729705
24,turner pays for boston bombing,0.09848551066416988,0.053088050331552145,0.18116951194369618,0.2723271206792759,0.20984887414971143,0.18508093223159439
25,serena misses bangalore tournament,0.08482974642941021,0.0755675166609148,0.24147592783701688,0.10944689390380172,0.1993645047495949,0.2893154104192614
26,attorneys point fingers in fight between ryan o neal and son,0.12136822972958558,0.02281180561986619,0.23232516660526037,0.24143567272506408,0.21054166127122892,0.1715174640489947
27,pledge i was abused in frat hazing,0.06060692106279438,0.040076801271109956,0.20972527748340547,0.26950039335188813,0.2082802179654279,0.21181038886537437
28,whistle blowing web site exposed,0.11439549182041783,0.11623857673905881,0.29153507800629913,0.05663692271639761,0.17378815401942216,0.24740577669840455
29,growing unarmed battalion in qaeda army is using internet to get the message out,0.0654172305801899,0.08127647692996004,0.23857697704112965,0.19667036004935823,0.10622591591998229,0.31183303947938007
30,royal rescues presidential hopes with commanding performance,0.036827086217965294,0.025982160346122492,0.1537745509537214,0.4271387529434943,0.10053144501126442,0.25574600452743207
31,minister slams airlines on carbon,0.08639922192813355,0.07431110496038265,0.2523001412736032,0.1617620253744839,0.21714436190770753,0.20808314455568946
32,audio slide show a love story lasting years,0.06417009894676708,0.0860496904417147,0.16985439547813924,0.2124771611750589,0.1717546764828214,0.2956939774754988
33,fully cooked chicken strips recalled,0.10143358681647092,0.07339525580658056,0.2803060686997738,0.12980939291920868,0.16729632567861827,0.24775937007934784
34,madonna adoption bid approved,0.03221601660828261,0.07559167599574915,0.12757648516448244,0.3613685703509433,0.10364955226149469,0.29959769961904803
35,rowdy fans ejected from the open,0.07612799251961273,0.08336211769886301,0.16027676019898737,0.29034991075248273,0.08718367504178498,0.3026995437882693
36,snow wreaks havoc in east midwest,0.09298873274047237,0.03678650037246341,0.2656242498765733,0.12343560516752707,0.256874293283675,0.22429061855928858
37,the energy challenge exotic visions how to cool a planet maybe,0.08106042480891393,0.12865271817137436,0.20461040152222484,0.13727063007720297,0.10829243079524288,0.3401133946250413
38,libby defense upsets judge rests,0.15383189678400344,0.12604364067759968,0.20396167023644726,0.08171516980308205,0.11505590279455243,0.31939171970431485
39,briton admits u s bomb plot role,0.13839225918249484,0.06100884829621873,0.31165807598895473,0.15903785911720772,0.18974406648750294,0.14015889092762113
40,routine mission turns into hunt for missing comrade,0.10491077545437737,0.06331349304849573,0.1732710680697732,0.21981731252146464,0.2212081998427152,0.21747915106317392
41,ex suspect slams anti terror laws,0.13294826911341828,0.0776080097494385,0.3487936275678359,0.12719870627407548,0.1367224681089611,0.17672891918627054
42,federer overcomes a ragged start,0.04634236991274087,0.08446480014370197,0.13325174283985272,0.2882285939551635,0.1571773527429718,0.29053514040556894
43,investigation of child porn site hits nations,0.15232675939455928,0.1891962043656507,0.12495695441313345,0.06811222502396751,0.22010924014952343,0.24529861665316555
44,bangladesh ends curfew amid unrest,0.09769465144136535,0.0786673861930028,0.2634220405420393,0.1115981230942163,0.17869753586589449,0.2699202628634817
45,sarkozy comfort zone offers a royal opportunity,0.07635817342159988,0.07870940171536264,0.1648872323650515,0.306922479349767,0.10964514918984757,0.2634775639583715
46,sick hearts switch on a fetal gene,0.08708032460305004,0.09006026914219761,0.3117883554090947,0.16366940635147828,0.18800158998421604,0.15940005450996322
47,chinese president arrives in mozambique african tour nearly over,0.07994734166798384,0.011559537732304441,0.18823658844110633,0.35263303813047253,0.13956005051701414,0.22806344351111849
48,homemade bombs kill on indian train,0.10405610295994118,0.0745963675993246,0.27446852504541186,0.1360194013263052,0.2283830981379894,0.18247650493102743
49,france rejects rwandan investigators,0.11264625687917519,0.09575872024574907,0.27975020973160514,0.1267687941257176,0.14711479320541104,0.23796122581234183
50,at libby trial russert of nbc gives and gets,0.15046880766701318,0.11443832991197861,0.1942787261102866,0.08482468072876247,0.1499317446588112,0.30605771092314776
51,rare optimism as north korea talks reach crossroads,0.04993012328615732,0.01471757234029801,0.21869530243781596,0.3734032982695152,0.1746104679709004,0.16864323569531298
52,for women nothing s like the smell of men s sweat,0.0003536850496108648,0.18794581288373893,0.0005947128260299289,0.15291924510475602,0.0005111201599780502,0.6576754239758862
53,reports harvard set to name first female president,0.0613152121560843,0.008961358210361627,0.12672546803985976,0.3743853242770557,0.0978305739212098,0.3307820633954291
54,justin timberlake cameron diaz announce split,0.0942344911967172,0.07086867604376756,0.2578751241900792,0.11537176511185152,0.22410134968742804,0.2375485937701563
55,hastert sorry for scandal but not quitting,0.0595234864498351,0.09894985635667264,0.10129684965031284,0.24179900614129882,0.25033762114669644,0.2480931802551842
56,world s oldest newspaper now exists only online,0.11187537797534738,0.08744840991702557,0.21537203910362232,0.1722954187407798,0.13268494312886253,0.28032381113436206
57,houston she s got some problems,0.06800746587619372,0.05972032239357729,0.2207519734246558,0.2328971604414904,0.10992637575843486,0.3086967021056482
58,firms on alert for letter bombs,0.03887135290511714,0.05550696935610059,0.22572546777289346,0.25905816310970087,0.17510904945467648,0.2457289974015116
59,study africa s internet gap getting wider,0.10675881235092585,0.09877394486939504,0.18321967867962008,0.21113288007457673,0.1379451191087261,0.2621695649167562
60,siesta cuts risk of heart disease death study finds,0.11127146848022473,0.055148367536967224,0.12622259201710115,0.296677089722919,0.12136716153374906,0.28931332070903887
61,spain ahead although nadal is out,0.02892497928650735,0.05591825149746092,0.19653913863196548,0.2941389391448669,0.07201936677405639,0.3524593246651432
62,runway making good without making nice,0.0328881378384831,0.06908091078376924,0.0783483761149669,0.36385209317106176,0.10571147550737361,0.35011900658434547
63,russia plans new icbms nuclear subs,0.11405679310518438,0.06954496748716674,0.2950478506474689,0.21476320001258867,0.09108600263587092,0.21550118611172003
64,no buyer in sight for napster,0.07609165612655765,0.056863884317463476,0.1460902780019713,0.2653952365707613,0.19512914985368832,0.26042979512955794
65,outcry at n korea nuclear test,0.10464285037320946,0.02518690060007291,0.26092249181293226,0.27471845587323274,0.16052400394231792,0.17400529739823492
66,ipod good for video games,0.025733383105539773,0.0428932777626841,0.03410909877791184,0.5156582884113654,0.11114845704515142,0.2704574948973475
67,taking the plunge,0.05405216092086819,0.08366128790359045,0.16234530084965104,0.26903400364775987,0.1189913989318686,0.3119158477462621
