1	0.4363994646005813 0.23422032704910614 0.33026244833605223 0.4363994646005813 0.3568792554806376 0.4657480077765282 
2	0.6986220116647923 0.2531831680016751 0.623364512748797 0.6986220116647923 
3	0.33026244833605223 0.3654046758885344 0.3994246729978553 0.4657480077765282 0.24038425475796782 0.3862277986565844 
4	0.9314960155530564 0.5171499993242916 0.8311526836650627 
5	0.3492530070538584 0.4657480077765282 0.4657480077765282 0.2921825602501574 0.3994246729978553 0.41557634183253134 
6	0.20340946315524178 0.3862277986565844 0.4657480077765282 0.33026244833605223 0.4657480077765282 0.3862277986565844 
7	0.6986220116647923 0.36057638213695176 0.6986220116647923 0.654599196900872 
8	0.3199044638779115 0.3750700003848156 0.3994246729978553 0.17373993313995517 0.41557634183253134 0.4657480077765282 
9	0.9314960155530564 0.8311526836650627 0.7137585109612752 
10	0.3104986718510188 0.19938756073990768 0.27705089455502085 0.2909329764003875 0.24360311725902295 0.2574851991043896 0.0938997822238063 0.17670756266702717 0.2909329764003875 
11	0.1561468846994041 0.27705089455502085 0.22823615079610282 0.0850115854415511 0.2574851991043896 0.2574851991043896 0.16244995408261823 0.10088859127629862 0.3104986718510188 
12	0.2618396787603488 0.2493458050995188 0.2317366791939507 0.19493900066449127 0.27944880466591693 0.27944880466591693 0.22504200023088938 0.09079973214866877 0.2317366791939507 0.08450980400142567 
13	0.4657480077765282 0.3027940735617203 0.33026244833605223 0.12751737816232667 0.3492530070538584 0.31084485349081276 
14	0.33026244833605223 0.6497966688816375 0.4657480077765282 0.4363994646005813 0.4363994646005813 
15	0.1442305528547807 0.2618396787603488 0.2618396787603488 0.1452065365836963 0.1604156348488878 0.15157344457063407 0.27944880466591693 0.15273163182561558 0.2317366791939507 0.27944880466591693 
16	0.4986916101990376 0.3588976093318339 0.39631493800326273 0.4986916101990376 0.16901960800285135 
17	0.18434984907593321 0.17310923094683797 0.21496061897378227 0.21496061897378227 0.07790251323128465 0.15242882230894722 0.17825898399534668 0.11246535282642801 0.21496061897378227 0.13969189561333656 0.14995307743422406 0.15510283048273274 
18	0.24367375083061407 0.2476968362520392 0.095638033621745 0.2995685047483915 0.34931100583239616 0.11349966518583596 0.2813025002886117 0.23313364011810958 
19	0.20340946315524178 0.4657480077765282 0.4657480077765282 0.4657480077765282 0.4363994646005813 0.3862277986565844 
20	0.20801928477052042 0.28967084899243833 0.2300306921524806 0.2520420995344407 0.327299598450436 0.327299598450436 0.2567656696456157 0.11349966518583596 
